pl_name,hostname,disc_year,pl_rade,pl_orbper,pl_orbsmax,pl_eqt,pl_orbeccen,st_teff,st_rad,st_mass,sy_snum,sy_pnum,discoverymethod,pl_bmasse
GJ 896 A b,GJ 896 A,2022,13.3,284.39,0.63965,126.7,0.35,3345.0,0.394682,0.43599,2,1,Astrometry,718.29219982
GJ 9066 c,GJ 9066,2020,9.6,771.36,0.88,65.66,0.46,3154.0,0.164,0.15,1,1,Radial Velocity,66.74396547
GJ 9404 b,GJ 9404,2023,3.48,13.4586,0.0943,473.5,0.49,3811.0,0.626041,0.62,1,1,Radial Velocity,11.9
GJ 96 b,GJ 96,2018,4.67,73.94,0.291,257.81,0.44,3785.0,0.580612,0.6,1,1,Radial Velocity,19.66
GJ 9689 b,GJ 9689,2020,3.07,18.27,0.1139,453.04,0.29,3836.0,0.57,0.59,1,1,Radial Velocity,9.65
GJ 9773 b,GJ 9773,2025,14.2,2965.0,2.921,59.89,0.218,3528.0,0.362,0.358,1,1,Radial Velocity,172.580825
GJ 9827 b,GJ 9827,2017,1.44,1.208974,0.0189,1035.01,0.0,4236.0,0.58,0.62,1,3,Transit,4.28
GJ 9827 c,GJ 9827,2017,1.13,3.648103,0.0395,715.94,0.0,4236.0,0.58,0.62,1,3,Transit,1.86
GJ 9827 d,GJ 9827,2017,1.98,6.20183,0.053,675.0,0.0,4236.0,0.58,0.62,1,3,Transit,3.02
Gaia-1 b,Gaia-1,2022,13.77583728,3.052524,0.04047,1159.07,0.0,5470.0,0.952,0.949,1,1,Transit,533.95172376
Gaia-2 b,Gaia-2,2022,14.81827249,3.6915224,0.0467,1213.23,0.0,5720.0,1.064,1.0,1,1,Transit,259.66580852
Gaia-4 b,Gaia-4,2025,12.4,571.3,0.099815,751.0,0.338,4034.0,0.624,0.644,1,1,Astrometry,3750.3752026
Gaia22dkvL b,Gaia22dkvL,2024,14.1,10.559687499999999,1.4,751.0,0.0,5544.0,0.95,1.145,1,1,Microlensing,187.83658854
Gaia23braL b,Gaia23braL,2026,13.5,10.559687499999999,4.847,129.2,0.0,5055.0,1.36181,0.774,1,1,Microlensing,518.06030341
Gl 378 b,Gl 378,2019,3.66,3.822,0.039435,830.0,0.109,3879.0,0.56,0.56,1,1,Radial Velocity,13.02
