pl_name,hostname,discoverymethod,disc_year,pl_bmasse,pl_rade,pl_orbper,pl_orbsmax,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,sy_snum,sy_pnum
"Kepler-1869 c","Kepler-1869","Transit",2023,0.33000000,0.74000000,1.71682830400,0.0280000000,0.000000,1455.00,5808.00,0.902000,0.987000,1,2
"Kepler-292 b","Kepler-292","Transit",2014,2.30000000,1.32000000,2.58082700000,0.0350000000,0.000000,1130.00,5299.00,0.826000,0.865000,1,5
"Kepler-33 b","Kepler-33","Transit",2011,3.68000000,1.74000000,5.66793000000,0.0677000000,0.000000,1336.00,5904.00,1.820000,1.291000,1,5
"Kepler-601 b","Kepler-601","Transit",2016,4.27000000,1.90000000,5.37886844100,0.0549400000,0.000000,833.00,5160.00,0.790000,0.850000,1,1
"TOI-1347 b","TOI-1347","Transit",2024,11.10000000,1.80000000,0.84742346000,0.0171000000,0.000000,1400.00,5464.00,0.830000,0.913000,1,2
"K2-417 b","K2-417","Transit",2023,699.22249540,3.31000000,6.53500000000,0.0630000000,,558.00,3861.00,0.577600,0.569000,1,1
"Kepler-1020 b","Kepler-1020","Transit",2016,5.82000000,2.28000000,96.91514960000,0.3759400000,0.000000,325.00,5227.00,0.800000,0.870000,1,1
"Kepler-1346 b","Kepler-1346","Transit",2016,3.12000000,1.58000000,3.40165668000,0.0440000000,0.000000,1236.00,6133.00,1.210000,1.140000,1,1
"TOI-1750 b","TOI-1750","Transit",2026,8.19000000,2.78943837,11.33727129656,,,612.92,4683.75,0.768675,0.767000,1,1
"HD 180314 b","HD 180314","Radial Velocity",2010,7216.92963775,12.00000000,394.73000000000,1.4480000000,0.247000,597.64,4917.00,9.200000,2.600000,1,1
"Kepler-181 c","Kepler-181","Transit",2014,4.62000000,1.99000000,4.30214900000,0.0490000000,0.000000,937.00,5333.00,0.749000,0.810000,1,2
"Kepler-953 c","Kepler-953","Transit",2016,1.81000000,1.19000000,9.10967112000,0.0862000000,0.000000,873.00,5416.00,0.990000,0.950000,1,2
"TOI-1696 b","TOI-1696","Transit",2022,48.80000000,3.09000000,2.50031100000,0.0229000000,0.000000,489.00,3185.00,0.277500,0.255000,1,1
"TIC 77552382 b","TIC 77552382","Transit",2026,27.50000000,5.69176189,3.51025904942,,,1433.88,4981.07,0.886956,0.830000,1,1
"HD 96167 b","HD 96167","Radial Velocity",2009,227.88411000,14.00000000,498.04000000000,1.3320000000,0.685000,333.63,5733.00,1.940000,1.270000,2,1
"Kepler-1770 b","Kepler-1770","Transit",2021,8.45000000,2.84141754,16.84189987000,0.1261000000,0.000000,699.00,5602.00,1.009000,0.941000,1,1
"Kepler-292 e","Kepler-292","Transit",2014,7.61000000,2.67000000,11.97901000000,0.0970000000,0.000000,678.00,5299.00,0.826000,0.865000,1,5
"Kepler-154 b","Kepler-154","Transit",2014,5.73000000,2.26000000,33.04053200000,0.1980000000,0.000000,561.00,5690.00,1.001000,0.933000,1,5
"Kepler-1660 AB b","Kepler-1660 A","Eclipse Timing Variations",2023,1586.59940774,12.90000000,239.50440000000,0.8000000000,0.055410,415.08,6305.24,1.491000,1.136600,2,1
"Kepler-379 b","Kepler-379","Transit",2014,3.39000000,1.66000000,20.09838000000,0.1520000000,0.000000,775.00,6054.00,1.306000,1.125000,1,2
"HAT-P-33 b","HAT-P-33","Transit",2011,292.40360000,20.73665000,3.47447000000,0.0499500000,0.000000,1782.00,6446.00,1.790000,1.820000,2,1
"Kepler-567 b","Kepler-567","Transit",2016,5.69000000,2.25000000,16.54297375000,0.1229000000,0.000000,611.00,5148.00,0.790000,0.840000,1,1
"KIC 8121913 b","KIC 8121913","Orbital Brightness Modulation",2021,667.43965470,13.40000000,3.29460100000,,,,5975.30,2.233000,1.456000,1,1
"K2-198 d","K2-198","Transit",2019,6.52000000,2.43800000,7.45001770000,,,943.20,5212.90,0.757000,0.799000,1,3
"Kepler-176 e","Kepler-176","Transit",2016,0.52075000,1.45000000,51.16579000000,0.2565400000,0.000000,398.00,5295.00,0.830000,0.870000,1,4
"HD 109246 b","HD 109246","Radial Velocity",2010,273.33380000,13.90000000,68.27000000000,0.3300000000,0.120000,507.43,5844.00,1.070000,1.200000,1,1
"TOI-5489 c","TOI-5489","Transit",2025,2.18000000,1.28000000,4.92126000000,,,536.00,3547.00,0.420000,0.410000,1,2
"K2-415 b","K2-415","Transit",2023,7.50000000,1.01500000,4.01796940000,0.0270000000,,412.40,3173.00,0.196500,0.163500,1,1
"Kepler-800 b","Kepler-800","Transit",2016,8.50000000,2.85000000,14.13176026000,0.1106000000,0.000000,675.00,5315.00,0.820000,0.850000,1,1
"Kepler-327 c","Kepler-327","Transit",2014,20.30000000,1.03000000,5.21233300000,0.0470000000,0.000000,537.00,3799.00,0.492000,0.591913,1,3
"Kepler-28 c","Kepler-28","Transit",2011,2.06000000,1.85700000,8.99000000000,0.0751900000,0.017000,509.00,4499.30,0.664000,0.684000,1,2
"K2-271 b","K2-271","Transit",2018,41.80000000,7.28000000,8.56242100000,0.0770000000,,893.00,5644.00,0.990000,0.830000,1,1
"KMT-2018-BLG-0748L b","KMT-2018-BLG-0748L","Microlensing",2020,60.00000000,9.01000000,,0.6200000000,,,,,0.087000,1,1
"KMT-2024-BLG-1870L b","KMT-2024-BLG-1870L","Microlensing",2026,336.89811142,13.80000000,,3.1500000000,,,,,0.670000,1,1
"KMT-2017-BLG-0849L b","KMT-2017-BLG-0849L","Microlensing",2024,6.39000000,2.41000000,,2.7300000000,,,,,0.190000,1,1
"Kepler-1418 b","Kepler-1418","Transit",2016,3.39000000,1.66000000,22.47644250000,0.1310000000,0.000000,419.00,4770.00,0.720000,0.770000,1,1
"OGLE-2016-BLG-0613L AB b","OGLE-2016-BLG-0613L AB","Microlensing",2017,1330.00000000,13.00000000,,6.4000000000,,,,,0.720000,2,1
"TOI-1694 c","TOI-1694","Radial Velocity",2023,316.55709337,13.80000000,386.25000000000,0.9740000000,0.111000,222.00,5005.00,0.812000,0.828000,1,2
